keys,tr,en,es,pt_BR,de,fr
"Faz 78","Faz 78","Phase 78","Fase 78","Fase 78","Phase 78","Phase 78"
"Faz 79","Faz 79","Phase 79","Fase 79","Fase 79","Phase 79","Phase 79"
"Faz 80","Faz 80","Phase 80","Fase 80","Fase 80","Phase 80","Phase 80"
"Faz 81","Faz 81","Phase 81","Fase 81","Fase 81","Phase 81","Phase 81"
"Faz 82","Faz 82","Phase 82","Fase 82","Fase 82","Phase 82","Phase 82"
"Faz 83","Faz 83","Phase 83","Fase 83","Fase 83","Phase 83","Phase 83"
"Faz 84","Faz 84","Phase 84","Fase 84","Fase 84","Phase 84","Phase 84"
"Faz 85","Faz 85","Phase 85","Fase 85","Fase 85","Phase 85","Phase 85"
"Faz 86","Faz 86","Phase 86","Fase 86","Fase 86","Phase 86","Phase 86"
"Faz 87","Faz 87","Phase 87","Fase 87","Fase 87","Phase 87","Phase 87"
"Faz 88","Faz 88","Phase 88","Fase 88","Fase 88","Phase 88","Phase 88"
"Faz 89","Faz 89","Phase 89","Fase 89","Fase 89","Phase 89","Phase 89"
"Faz 90","Faz 90","Phase 90","Fase 90","Fase 90","Phase 90","Phase 90"
"Faz 91","Faz 91","Phase 91","Fase 91","Fase 91","Phase 91","Phase 91"
"Faz 92","Faz 92","Phase 92","Fase 92","Fase 92","Phase 92","Phase 92"
"Faz 93","Faz 93","Phase 93","Fase 93","Fase 93","Phase 93","Phase 93"
"Faz 94","Faz 94","Phase 94","Fase 94","Fase 94","Phase 94","Phase 94"
"Faz 95","Faz 95","Phase 95","Fase 95","Fase 95","Phase 95","Phase 95"
"Faz 96","Faz 96","Phase 96","Fase 96","Fase 96","Phase 96","Phase 96"
"Faz 97","Faz 97","Phase 97","Fase 97","Fase 97","Phase 97","Phase 97"
"Faz 98","Faz 98","Phase 98","Fase 98","Fase 98","Phase 98","Phase 98"
"Faz 99","Faz 99","Phase 99","Fase 99","Fase 99","Phase 99","Phase 99"
"Final","Final","Finale","Final","Final","Finale","Finale"
"Geri Dönüş","Geri Dönüş","The Return","Regreso","Retorno","Rückkehr","Retour"
"Halka Geçidi","Halka Geçidi","Ring Passage","Pasaje Anillo","Passagem Anel","Ring Durchgang","Passage Anneau"
"Halka ve Fitil","Halka ve Fitil","Ring and Fuse","Anillo y Mecha","Anel e Pavio","Ring und Zünder","Anneau et Mèche"
"Halka ve Mayın","Halka ve Mayın","Ring and Mine","Anillo y Mina","Anel e Mina","Ring und Mine","Anneau et Mine"
"Halka ve Mayın Finali","Halka ve Mayın Finali","Ring and Mine Finale","Anillo y Mina Final","Anel e Mina Final","Ring und Mine Finale","Anneau et Mine Finale"
"Halkalı Mayın","Halkalı Mayın","Ringed Mine","Mina Anillado","Mina Anelado","Beringt Mine","Mine Annelé"
"Hedefe değil, ilk güvenli temasa nişan al.","Hedefe değil, ilk güvenli temasa nişan al.","Aim at the first safe contact, not the target.","Apunta al primer contacto seguro, no al objetivo.","Mire no primeiro contato seguro, não no alvo.","Ziele auf den ersten sicheren Kontakt, nicht auf das Ziel.","Visez le premier contact sûr, pas la cible."
"Kayan Bariyer","Kayan Bariyer","Sliding Barrier","Barrera Deslizante","Barreira Deslizante","Gleitend Barriere","Barrière Coulissante"
"Kenardan Sek","Kenardan Sek","Bounce Off the Edge","Rebote desde el borde","Quicada na borda","Vom Rand abprallen","Rebond sur le bord"
"Kontrollü Koridor","Kontrollü Koridor","Controlled Corridor","Corredor Controlado","Corredor Controlado","Kontrolliert Korridor","Couloir Contrôlé"
"Kör Sekme","Kör Sekme","Blind Bounce","Rebote Ciego","Quicada Cego","Blind Abprall","Rebond Aveugle"
"Kör Zincir","Kör Zincir","Blind Chain","Cadena Ciega","Corrente Cega","Blind Kette","Chaîne Aveugle"
"Kırık Hat","Kırık Hat","Broken Line","Línea Rota","Linha Quebrada","Gebrochen Linie","Ligne Brisée"
"Kırık Kenar","Kırık Kenar","Broken Edge","Borde Roto","Borda Quebrada","Gebrochen Rand","Bord Brisé"
"Lazer Hattı","Lazer Hattı","Laser Line","Línea Láser","Linha Laser","Laser Linie","Ligne Laser"
"Mayin Hatti","Mayin Hatti","Mine Line","Línea Mina","Linha Mina","Mine Linie","Ligne Mine"
"Ritmi bozma; son dönüş hedefi açar.","Ritmi bozma; son dönüş hedefi açar.","Keep the rhythm; the last turn opens the target.","Mantén el ritmo; el último giro abre el objetivo.","Mantenha o ritmo; a última curva abre o alvo.","Halte den Rhythmus; die letzte Kurve öffnet den Weg zum Ziel.","Gardez le rythme ; le dernier virage ouvre la cible."
"Sahte Geçit","Sahte Geçit","False Passage","Pasaje Falso","Passagem Falsa","Falsch Durchgang","Passage Faux"
"Sekme Ritmi","Sekme Ritmi","Bounce Rhythm","Ritmo Rebote","Ritmo Quicada","Abprall Rhythmus","Rythme Rebond"
"Sol kenarda boşluk var. Zayıf atış topu kaçırır.","Sol kenarda boşluk var. Zayıf atış topu kaçırır.","There is a gap on the left edge. A weak shot misses it.","Hay una abertura en el borde izquierdo. Un tiro débil no la alcanza.","Há uma abertura na borda esquerda. Um lançamento fraco não a alcança.","Am linken Rand ist eine Lücke. Ein schwacher Schuss verfehlt sie.","Il y a une ouverture sur le bord gauche. Un tir trop faible la manque."
"Son Faz","Son Faz","Final Phase","Fase Final","Fase Final","Final Phase","Phase Final"
"Son Işık","Son Işık","Last Light","Luz Última","Luz Última","Letztes Licht","Lumière Dernière"
"Son Kilit","Son Kilit","Final Lock","Cerrojo Final","Trava Final","Final Schloss","Verrou Final"
"Sürükle, nişan al ve bırak","Sürükle, nişan al ve bırak","Drag, aim and release","Arrastra, apunta y suelta","Arraste, mire e solte","Ziehen, zielen und loslassen","Faites glisser, visez et relâchez"
"Sıkı Geçit","Sıkı Geçit","Tight Pass","Paso Estrecho","Passagem Apertado","Eng Pass","Passage Serré"
"Tam Temizlik","Tam Temizlik","Full Clear","Limpieza Total","Limpeza Total","Vollständig Räumung","Nettoyage Complet"
"Ters Akış","Ters Akış","Reverse Flow","Flujo Inverso","Fluxo Inverso","Umgekehrt Fluss","Flux Inversé"
"Ters Geçit","Ters Geçit","Reverse Pass","Paso Inverso","Passagem Inverso","Umgekehrt Pass","Passage Inversé"
"Ters Rota","Ters Rota","Reverse Route","Ruta Inversa","Rota Inversa","Umgekehrt Route","Trajectoire Inversée"
"Ustalık II","Ustalık II","Mastery II","II Maestría","II Maestria","Meisterschaft II","II Maîtrise"
"Uzun Yay","Uzun Yay","Long Arc","Arco Largo","Arco Longo","Lang Bogen","Arc Long"
"Yakın görünen yol, doğru yol olmayabilir.","Yakın görünen yol, doğru yol olmayabilir.","The path that looks closest may not be the right one.","El camino que parece más corto puede no ser el correcto.","O caminho que parece mais próximo pode não ser o certo.","Der kürzeste wirkende Weg ist vielleicht nicht der richtige.","Le chemin qui semble le plus court n'est pas forcément le bon."
"Yan duvar da bir sekme yüzeyidir.","Yan duvar da bir sekme yüzeyidir.","The side wall is a bounce surface too.","La pared lateral también sirve para rebotar.","A parede lateral também serve para quicar.","Auch die Seitenwand ist eine Abprallfläche.","Le mur latéral est aussi une surface de rebond."
"Yedi Temas","Yedi Temas","Seven Contacts","Siete Contactos","Sete Contatos","Sieben Kontakte","Sept Contacts"
"Yeniden Tasarlanan Faz 29","Yeniden Tasarlanan Faz 29","Rebuilt Phase 29","Fase 29 Rediseñado","Fase 29 Redesenhado","Phase 29 Neu gebaut","Phase 29 Reconstruit"
"Yeniden Tasarlanan Rastgele Faz 28","Yeniden Tasarlanan Rastgele Faz 28","Rebuilt Phase 28","Fase 28 Rediseñado","Fase 28 Redesenhado","Phase 28 Neu gebaut","Phase 28 Reconstruit"
"Yeniden Tasarlanan Rastgele Faz 30","Yeniden Tasarlanan Rastgele Faz 30","Rebuilt Phase 30","Fase 30 Rediseñado","Fase 30 Redesenhado","Phase 30 Neu gebaut","Phase 30 Reconstruit"
"Yeniden Tasarlanan Rastgele Faz 33","Yeniden Tasarlanan Rastgele Faz 33","Rebuilt Phase 33","Fase 33 Rediseñado","Fase 33 Redesenhado","Phase 33 Neu gebaut","Phase 33 Reconstruit"
"Yeniden Tasarlanan Rastgele Faz 34","Yeniden Tasarlanan Rastgele Faz 34","Rebuilt Phase 34","Fase 34 Rediseñado","Fase 34 Redesenhado","Phase 34 Neu gebaut","Phase 34 Reconstruit"
"Yeniden Tasarlanan Rastgele Faz 36","Yeniden Tasarlanan Rastgele Faz 36","Rebuilt Phase 36","Fase 36 Rediseñado","Fase 36 Redesenhado","Phase 36 Neu gebaut","Phase 36 Reconstruit"
"Yeniden Tasarlanan Rastgele Faz 37","Yeniden Tasarlanan Rastgele Faz 37","Rebuilt Phase 37","Fase 37 Rediseñado","Fase 37 Redesenhado","Phase 37 Neu gebaut","Phase 37 Reconstruit"
"Yeniden Tasarlanan Rastgele Faz 38","Yeniden Tasarlanan Rastgele Faz 38","Rebuilt Phase 38","Fase 38 Rediseñado","Fase 38 Redesenhado","Phase 38 Neu gebaut","Phase 38 Reconstruit"
"Zikzak","Zikzak","Zigzag","Zigzag","Zigue-zague","Zickzack","Zigzag"
"Zincir","Zincir","Chain","Cadena","Corrente","Kette","Chaîne"
"Zırhlı Hat","Zırhlı Hat","Armored Line","Línea Blindada","Linha Blindada","Gepanzert Linie","Ligne Blindée"
"Çapraz Anahtar","Çapraz Anahtar","Diagonal Key","Llave Diagonal","Chave Diagonal","Diagonal Schlüssel","Clé Diagonal"
"Çapraz Geçiş","Çapraz Geçiş","Diagonal Crossing","Cruce Diagonal","Cruzamento Diagonal","Diagonal Kreuzung","Croisement Diagonal"
"Çatlak Kilit","Çatlak Kilit","Cracked Lock","Cerrojo Agrietado","Trava Rachado","Rissig Schloss","Verrou Fissuré"
"Çift Sekme","Çift Sekme","Double Bounce","Doble Rebote","Duplo Quicada","Doppel Abprall","Double Rebond"
"Çifte Duvar","Çifte Duvar","Double Wall","Doble Muro","Duplo Parede","Doppel Wand","Double Mur"
"Çifte Halka Düğümü","Çifte Halka Düğümü","Double Ring Knot","Nudo Anillo Doble","Nó Anel Duplo","Doppel Ring Knoten","Nœud Anneau Double"
"Çifte Kilit","Çifte Kilit","Double Lock","Doble Cerrojo","Duplo Trava","Doppel Schloss","Double Verrou"
"Çifte Çatlak","Çifte Çatlak","Double Crack","Doble Grieta","Duplo Rachadura","Doppel Riss","Double Fissure"
"Önce sağ, sonra sol kenar.","Önce sağ, sonra sol kenar.","Right edge first, then the left.","Primero el borde derecho y luego el izquierdo.","Primeiro a borda direita, depois a esquerda.","Zuerst der rechte Rand, dann der linke.","D'abord le bord droit, puis le gauche."
"Üçgen","Üçgen","Triangle","Triángulo","Triângulo","Dreieck","Triangle"
"Üçlü Hat","Üçlü Hat","Triple Line","Triple Línea","Triplo Linha","Dreifach Linie","Triple Ligne"
"Üçlü Mayın","Üçlü Mayın","Triple Mine","Triple Mina","Triplo Mina","Dreifach Mine","Triple Mine"
"İki Yol","İki Yol","Two Paths","Dos Caminos","Dois Caminhos","Zwei Wege","Deux Chemins"
"İki yüzeyi sırayla kullan.","İki yüzeyi sırayla kullan.","Use both surfaces in turn.","Usa ambas superficies por turnos.","Use as duas superfícies em sequência.","Nutze beide Flächen nacheinander.","Utilisez les deux surfaces à tour de rôle."
"İlk Atış","İlk Atış","First Shot","Primero Tiro","Primeiro Lançamento","Zuerst Schuss","D'abord Tir"
"İlk Kırılma","İlk Kırılma","First Break","Primero Ruptura","Primeiro Ruptura","Zuerst Bruch","D'abord Rupture"
"İlk Ustalık","İlk Ustalık","First Mastery","Primera Maestría","Primeira Maestria","Zuerst Meisterschaft","Première Maîtrise"
"İlk çizgiye değil, dönüş yoluna bak.","İlk çizgiye değil, dönüş yoluna bak.","Look at the return path, not the first line.","Mira el camino de regreso, no la primera línea.","Observe o caminho de volta, não a primeira linha.","Achte auf den Rückweg, nicht auf die erste Linie.","Regardez le chemin du retour, pas la première ligne."
"İnce Ayar","İnce Ayar","Fine Tuning","Ajuste Fino","Ajuste Fino","Fein Abstimmung","Réglage Fin"
"Açı ve Sekme","Açı ve Sekme","Angle and Bounce","Ángulo y Rebote","Ângulo e Quicada","Winkel und Abprall","Angle et Rebond"
"Açık Halka","Açık Halka","Open Ring","Anillo Abierto","Anel Aberto","Offen Ring","Anneau Ouvert"
"Blok Kapısı","Blok Kapısı","Block Gate","Puerta Bloque","Portão Bloco","Block Tor","Porte Bloc"
"Blok Ustalığı","Blok Ustalığı","Block Mastery","Maestría Bloque","Maestria Bloco","Block Meisterschaft","Maîtrise Bloc"
"Bloklu Halka","Bloklu Halka","Blocked Ring","Anillo Bloqueado","Anel Bloqueado","Blockiert Ring","Anneau Bloqué"
"Çapraz Fitil","Çapraz Fitil","Cross Fuse","Mecha Cruzado","Pavio Cruzado","Kreuz Zünder","Mèche Croisée"
"Çapraz Halka","Çapraz Halka","Cross Ring","Anillo Cruzado","Anel Cruzado","Kreuz Ring","Anneau Croisé"
"Çapraz Hasar","Çapraz Hasar","Cross Damage","Daño Cruzado","Dano Cruzado","Kreuz Schaden","Dégâts Croisé"
"Çapraz Rotor","Çapraz Rotor","Cross Rotor","Rotor Cruzado","Rotor Cruzado","Kreuz Rotor","Rotor Croisé"
"Çark Girişi","Çark Girişi","Wheel Entry","Entrada Rueda","Entrada Roda","Rad Eingang","Entrée Roue"
"Çark Ustalığı","Çark Ustalığı","Wheel Mastery","Maestría Rueda","Maestria Roda","Rad Meisterschaft","Maîtrise Roue"
"Çatlak Çember","Çatlak Çember","Cracked Circle","Círculo Agrietado","Círculo Rachado","Rissig Kreis","Cercle Fissuré"
"Çatlak Hat","Çatlak Hat","Cracked Line","Línea Agrietada","Linha Rachada","Rissig Linie","Ligne Fissurée"
"Çatlak Rotor","Çatlak Rotor","Cracked Rotor","Rotor Agrietado","Rotor Rachado","Rissig Rotor","Rotor Fissuré"
"Çember Işığı","Çember Işığı","Circle Light","Luz Círculo","Luz Círculo","Kreis Licht","Lumière Cercle"
"Çifte Atım","Çifte Atım","Double Pulse","Doble Pulso","Duplo Pulso","Doppel Impuls","Double Impulsion"
"Çifte Koridor","Çifte Koridor","Double Corridor","Doble Corredor","Duplo Corredor","Doppel Korridor","Double Couloir"
"Çifte Mayın","Çifte Mayın","Double Mine","Doble Mina","Duplo Mina","Doppel Mine","Double Mine"
"Çifte Sekme","Çifte Sekme","Double Bounce","Doble Rebote","Duplo Quicada","Doppel Abprall","Double Rebond"
"Çifte Tehdit","Çifte Tehdit","Double Threat","Doble Amenaza","Duplo Ameaça","Doppel Bedrohung","Double Menace"
"Çifte Yörünge","Çifte Yörünge","Double Orbit","Doble Órbita","Duplo Órbita","Doppel Umlaufbahn","Double Orbite"
"Dar Çember","Dar Çember","Tight Circle","Círculo Estrecho","Círculo Apertado","Eng Kreis","Cercle Serré"
"Dar Güvenlik","Dar Güvenlik","Narrow Safety","Seguridad Estrecha","Segurança Estreita","Eng Sicherheit","Sécurité Étroite"
"Dar Mayın","Dar Mayın","Tight Mine","Mina Estrecha","Mina Apertada","Eng Mine","Mine Serrée"
"Dar Pervane","Dar Pervane","Tight Propeller","Hélice Estrecha","Hélice Apertada","Eng Propeller","Hélice Serrée"
"Dar Rotor","Dar Rotor","Tight Rotor","Rotor Estrecho","Rotor Apertado","Eng Rotor","Rotor Serré"
"Dar Yörünge","Dar Yörünge","Tight Orbit","Órbita Estrecha","Órbita Apertada","Eng Umlaufbahn","Orbite Serrée"
"Dar Zamanlama","Dar Zamanlama","Tight Timing","Sincronización Estrecho","Sincronização Apertado","Eng Timing","Synchronisation Serré"
"Derin Devir","Derin Devir","Deep Rotation","Rotación Profunda","Rotação Profunda","Tief Drehung","Rotation Profonde"
"Dönen Geçit","Dönen Geçit","Rotating Passage","Pasaje Giratorio","Passagem Giratória","Rotierend Durchgang","Passage Tournant"
"Dönen Işık","Dönen Işık","Rotating Light","Luz Giratoria","Luz Giratória","Rotierend Licht","Lumière Tournante"
"Duvar Dişlisi","Duvar Dişlisi","Wall Gear","Engranaje Muro","Engrenagem Parede","Wand Zahnrad","Engrenage Mur"
"Duvar Dönüşü","Duvar Dönüşü","Wall Turn","Giro Muro","Giro Parede","Wand Kurve","Virage Mur"
"Duvar Işığı","Duvar Işığı","Wall Light","Luz Muro","Luz Parede","Wand Licht","Lumière Mur"
"Duvar Pervanesi","Duvar Pervanesi","Wall Propeller","Hélice Muro","Hélice Parede","Wand Propeller","Hélice Mur"
"Duvar Rotası","Duvar Rotası","Wall Route","Ruta Muro","Rota Parede","Wand Route","Trajectoire Mur"
"Duvar Tuzağı","Duvar Tuzağı","Wall Trap","Trampa Muro","Armadilha Parede","Wand Falle","Piège Mur"
"Eğik Geçiş","Eğik Geçiş","Slanted Passage","Pasaje Inclinado","Passagem Inclinada","Schräg Durchgang","Passage Incliné"
"Güvenli Açı","Güvenli Açı","Safe Angle","Ángulo Seguro","Ângulo Seguro","Sicher Winkel","Angle Sûr"
"Halka Anahtarı","Halka Anahtarı","Ring Key","Llave Anillo","Chave Anel","Ring Schlüssel","Clé Anneau"
"Halka Deviri","Halka Deviri","Ring Rotation","Rotación Anillo","Rotação Anel","Ring Drehung","Rotation Anneau"
"Halka Girişi","Halka Girişi","Ring Entry","Entrada Anillo","Entrada Anel","Ring Eingang","Entrée Anneau"
"Halka Koridoru","Halka Koridoru","Ring Corridor","Corredor Anillo","Corredor Anel","Ring Korridor","Couloir Anneau"
"Halka Lazer","Halka Lazer","Ring Laser","Láser Anillo","Laser Anel","Ring Laser","Laser Anneau"
"Halka Sığınağı","Halka Sığınağı","Ring Shelter","Refugio Anillo","Abrigo Anel","Ring Schutz","Abri Anneau"
"Halka Tuzağı","Halka Tuzağı","Ring Trap","Trampa Anillo","Armadilha Anel","Ring Falle","Piège Anneau"
"Halka Ustalığı","Halka Ustalığı","Ring Mastery","Maestría Anillo","Maestria Anel","Ring Meisterschaft","Maîtrise Anneau"
"Işık Aralığı","Işık Aralığı","Light Gap","Intervalo Luz","Intervalo Luz","Licht Lücke","Intervalle Lumière"
"Işık Kapanı","Işık Kapanı","Light Trap","Trampa Luz","Armadilha Luz","Licht Falle","Piège Lumière"
"Işın Düğümü","Işın Düğümü","Beam Knot","Nudo Rayo","Nó Feixe","Strahl Knoten","Nœud Rayon"
"İki Geçit","İki Geçit","Two Passages","Dos Pasajes","Dois Passagens","Zwei Durchgänge","Deux Passages"
"İkili Açılım","İkili Açılım","Double Opening","Doble Apertura","Duplo Abertura","Doppel Öffnung","Double Ouverture"
"İkili Devir","İkili Devir","Dual Rotation","Rotación Doble","Rotação Duplo","Doppelt Drehung","Rotation Double"
"İlk Sekme","İlk Sekme","First Bounce","Primero Rebote","Primeiro Quicada","Zuerst Abprall","D'abord Rebond"
"Kenar Anahtarı","Kenar Anahtarı","Edge Key","Llave Borde","Chave Borda","Rand Schlüssel","Clé Bord"
"Kenar Çarkı","Kenar Çarkı","Edge Wheel","Rueda Borde","Roda Borda","Rand Rad","Roue Bord"
"Kenar Düğümü","Kenar Düğümü","Edge Knot","Nudo Borde","Nó Borda","Rand Knoten","Nœud Bord"
"Kenar Halkası","Kenar Halkası","Edge Ring","Anillo Borde","Anel Borda","Rand Ring","Anneau Bord"
